GRB name,T100,Cat
GRB070704,458.1,L
GRB070628,47.92,L
GRB070621,41.66,L
GRB070616,608.92,L
GRB070612B,24.0,L
GRB070612A,422.56,L
GRB070611,16.0,L
GRB070531,48.75,L
GRB070529,118.53,L
GRB070521,64.27,L
GRB070520B,112.0,L
GRB070520A,48.0,L
GRB070518,6.29,L
GRB070517,8.53,L
GRB070509,9.3,L
GRB070508,48.74,L
GRB070506,7.4,L
GRB070429B,0.54,S
GRB070429A,194.0,L
GRB070427,13.87,L
GRB070420,129.41,L
GRB070419B,324.11,L
GRB070419A,192.0,L
GRB070412,35.74,L
GRB070411,157.42,L
GRB070406,1.28,S
GRB070330,7.12,L
GRB070328,141.06,L
GRB070326,22.0,L
GRB070318,172.54,L
GRB070306,304.1,L
GRB070227,3.2,Discarded
GRB070224,64.0,L
GRB070223,144.0,L
GRB070220,256.21,L
GRB070219,21.0,L
GRB070209,0.08,S
GRB070208,64.0,L
GRB070129,504.5,L
GRB070126,,Discarded
GRB070125,,Discarded
GRB070110,110.92,L
GRB070107,485.83,L
GRB070103,19.52,L
GRB061222B,49.78,L
GRB061222A,216.0,L
GRB061218,,Discarded
GRB061217,0.26,S
GRB061210,89.4,S
GRB061202,148.28,L
GRB061201,0.85,S
GRB061126,95.42,L
GRB061121,122.15,L
GRB061110B,149.18,L
GRB061110A,53.68,L
GRB061102,49.8,L
GRB061028,119.36,L
GRB061027,,Discarded
GRB061021,64.97,L
GRB061019,184.42,L
GRB061007,252.34,L
GRB061006,161.01,S
GRB061004,7.87,L
GRB061002,19.22,L
GRB060929,560.83,L
GRB060927,24.74,L
GRB060926,10.23,L
GRB060923C,79.79,L
GRB060923B,9.96,L
GRB060923A,63.72,L
GRB060919,9.95,L
GRB060912A,6.68,L
GRB060908,28.49,L
GRB060906,50.1,L
GRB060904B,214.17,L
GRB060904A,133.65,L
GRB060825,10.62,L
GRB060814,230.01,L
GRB060813,36.44,L
GRB060807,66.53,L
GRB060805A,5.74,L
GRB060804,19.61,L
GRB060801,0.55,S
GRB060729,127.61,L
GRB060728,,Discarded
GRB060719,84.96,L
GRB060717,3.0,L
GRB060714,134.22,L
GRB060712,38.14,L
GRB060708,14.44,L
GRB060707,74.4,L
GRB060614,180.58,L
GRB060607B,37.85,L
GRB060607A,125.88,L
GRB060605,85.28,L
GRB060604,96.0,L
GRB060602A,82.62,L
GRB060526,311.53,L
GRB060522,77.16,L
GRB060516,144.0,L
GRB060515,57.28,L
GRB060512,9.29,L
GRB060510B,300.45,L
GRB060510A,23.5,Discarded
GRB060507,203.38,L
GRB060505,7.0,L
GRB060502B,0.18,S
GRB060502A,44.63,L
GRB060501,40.27,L
GRB060428B,128.0,L
GRB060428A,49.77,L
GRB060427,71.0,L
GRB060424,40.94,L
GRB060421,19.67,L
GRB060418,219.08,L
GRB060413,216.97,L
GRB060403,39.34,L
GRB060323,29.6,L
GRB060322,319.84,L
GRB060319,12.43,L
GRB060313,0.88,S
GRB060312,58.7,L
GRB060306,68.27,L
GRB060223B,12.52,L
GRB060223A,12.96,L
GRB060219,65.31,L
GRB060218,,Discarded
GRB060211B,29.76,L
GRB060211A,146.37,L
GRB060210,368.0,L
GRB060206,14.26,L
GRB060204B,194.99,L
GRB060203,77.9,L
GRB060202,217.01,L
GRB060124,14.75,L
GRB060123,,Discarded
GRB060117,28.26,L
GRB060116,114.37,L
GRB060115,159.02,L
GRB060111B,63.72,L
GRB060111A,18.23,L
GRB060110,28.15,L
GRB060109,128.74,L
GRB060108,17.25,L
GRB060105,87.59,L
GRB060102,23.0,L
GRB051227,123.58,L
GRB051221B,49.58,L
GRB051221A,2.12,S
GRB051213,77.31,L
GRB051210,1.46,S
GRB051117B,9.61,L
GRB051117A,186.05,L
GRB051114,3.0,S
GRB051113,98.08,L
GRB051111,96.0,L
GRB051109B,18.96,L
GRB051109A,44.3,L
GRB051105A,0.07,S
GRB051021B,59.33,L
GRB051016B,4.5,L
GRB051016A,23.0,L
GRB051012,12.8,L
GRB051008,38.26,L
GRB051006,40.94,L
GRB051001,224.72,L
GRB050925,0.1,S
GRB050922C,6.8,L
GRB050922B,249.2,L
GRB050916,98.23,L
GRB050915B,66.04,L
GRB050915A,65.98,L
GRB050911,16.96,L
GRB050908,22.66,L
GRB050906,,Discarded
GRB050904,230.47,L
GRB050827,67.31,L
GRB050826,39.79,L
GRB050824,27.15,L
GRB050822,135.24,L
GRB050820B,15.33,L
GRB050820A,261.36,L
GRB050819,47.3,L
GRB050815,3.45,L
GRB050814,180.04,L
GRB050813,0.44,S
GRB050803,105.54,L
GRB050802,33.47,L
GRB050801,25.64,L
GRB050730,177.78,L
GRB050726,56.46,L
GRB050724,107.16,S
GRB050721,153.19,L
GRB050717,209.17,L
GRB050716,90.06,L
GRB050715,207.0,L
GRB050714B,54.76,L
GRB050713B,177.38,L
GRB050713A,190.72,L
GRB050712,60.57,L
GRB050701,33.14,L
GRB050607,48.0,L
GRB050603,41.0,L
GRB050528,13.1,L
GRB050525A,12.8,L
GRB050509B,0.03,Discarded
GRB050509A,13.04,L
GRB050507,18.0,L
GRB050505,62.57,L
GRB050502B,20.49,L
GRB050422,80.0,L
GRB050421,8.7,L
GRB050418,88.91,L
GRB050416B,4.12,L
GRB050416A,9.45,L
GRB050412,32.19,L
GRB050410,64.0,L
GRB050406,6.4,L
GRB050401,33.71,L
GRB050326,42.26,L
GRB050319,161.86,L
GRB050318,30.34,L
GRB050315,125.16,L
GRB050306,191.22,L
GRB050223,28.58,L
GRB050219B,74.16,L
GRB050219A,36.21,L
GRB050215B,15.44,L
GRB050215A,71.39,L
GRB050202,0.13,S
GRB050128,33.0,L
GRB050126,48.0,L
GRB050124,6.96,L
GRB050117,211.57,L
GRB041228,73.44,L
GRB041226,9.2,L
GRB041224,226.92,L
GRB041223,156.48,L
GRB041220,7.02,L
GRB041219C,12.0,L
GRB041219B,,Discarded
GRB041219A,,Discarded
GRB041217,7.06,L
