GRB name,T100,Cat
GRB160716A,7.16,L
GRB160714A,0.37,S
GRB160712A,54.06,L
GRB160709A,4.8,S
GRB160705B,69.62,L
GRB160703A,79.73,L
GRB160630A,36.3,L
GRB160625A,62.45,L
GRB160624A,0.26,S
GRB160623A,,Discarded
GRB160612A,0.31,S
GRB160611A,44.9,L
GRB160607A,58.63,L
GRB160601A,0.14,S
GRB160525B,0.32,S
GRB160525A,,Discarded
GRB160519A,42.14,L
GRB160506A,345.11,L
GRB160504A,58.59,L
GRB160501A,,Discarded
GRB160425A,320.33,L
GRB160424A,8.16,L
GRB160419A,13.82,L
GRB160417A,16.02,L
GRB160412A,44.48,L
GRB160411A,0.39,S
GRB160410A,128.0,L
GRB160409A,51.2,Discarded
GRB160408A,0.36,S
GRB160327A,49.22,L
GRB160325A,111.13,L
GRB160321A,39.98,L
GRB160314A,9.35,L
GRB160313A,50.26,L
GRB160303A,5.41,S
GRB160228A,119.59,L
GRB160227A,336.35,L
GRB160225A,165.66,L
GRB160223A,188.04,L
GRB160220B,45.06,L
GRB160220A,9.09,L
GRB160216A,12.0,L
GRB160203A,19.7,L
GRB160131A,774.52,L
GRB160127A,7.14,L
GRB160123A,5.05,L
GRB160121A,15.0,L
GRB160119A,167.64,L
GRB160117B,14.45,L
GRB160117A,173.0,L
GRB160104A,18.96,L
GRB151229A,2.46,L
GRB151228B,64.0,L
GRB151228A,0.31,S
GRB151215A,18.59,L
GRB151210A,110.0,L
GRB151205B,1.54,L
GRB151205A,80.0,L
GRB151127A,0.2,S
GRB151122A,40.0,L
GRB151118A,30.8,L
GRB151114A,5.51,Discarded
GRB151112A,69.09,Discarded
GRB151111A,96.96,Discarded
GRB151107A,,Discarded
GRB151031A,6.0,L
GRB151029A,13.22,L
GRB151027B,96.0,L
GRB151027A,165.44,L
GRB151023A,13.15,L
GRB151022A,133.89,L
GRB151021A,149.04,L
GRB151006A,316.13,L
GRB151004A,148.0,L
GRB151001B,158.64,L
GRB151001A,14.06,L
GRB150925A,146.1,L
GRB150915A,176.0,L
GRB150911A,10.65,L
GRB150910A,151.34,L
GRB150907B,66.0,L
GRB150901A,80.0,L
GRB150831B,7.42,L
GRB150831A,1.05,S
GRB150821A,309.65,L
GRB150819A,59.44,L
GRB150818A,201.28,L
