GRB name,T90,Type
GRB070704,384.94,L
GRB070628,39.08,L
GRB070621,33.26,L
GRB070616,406.88,L
GRB070612B,18.0,L
GRB070612A,365.28,L
GRB070611,13.18,L
GRB070531,44.62,L
GRB070529,108.9,L
GRB070521,38.63,L
GRB070520B,96.0,L
GRB070520A,48.0,L
GRB070518,5.5,L
GRB070517,7.82,L
GRB070509,7.83,L
GRB070508,20.9,L
GRB070506,5.99,L
GRB070429B,0.49,S
GRB070429A,168.0,L
GRB070427,11.08,L
GRB070420,77.02,L
GRB070419B,238.01,L
GRB070419A,160.0,L
GRB070412,33.88,L
GRB070411,115.69,L
GRB070406,0.82,S
GRB070330,6.64,L
GRB070328,72.12,L
GRB070326,18.0,L
GRB070318,130.37,L
GRB070306,209.24,L
GRB070227,3.2,Discarded
GRB070224,48.0,L
GRB070223,128.0,L
GRB070220,125.4,L
GRB070219,18.0,L
GRB070209,0.07,S
GRB070208,64.0,L
GRB070129,459.75,L
GRB070126,,Discarded
GRB070125,,Discarded
GRB070110,88.43,L
GRB070107,370.3,L
GRB070103,18.41,L
GRB061222B,37.25,L
GRB061222A,100.0,L
GRB061218,,Discarded
GRB061217,0.22,S
GRB061210,85.23,S
GRB061202,94.19,L
GRB061201,0.78,S
GRB061126,52.62,L
GRB061121,81.22,L
GRB061110B,135.25,L
GRB061110A,44.51,L
GRB061102,45.54,L
GRB061028,105.81,L
GRB061027,,Discarded
GRB061021,47.82,L
GRB061019,180.38,L
GRB061007,75.74,L
GRB061006,129.79,S
GRB061004,6.26,L
GRB061002,17.63,L
GRB060929,552.96,L
GRB060927,22.42,L
GRB060926,8.82,L
GRB060923C,73.73,L
GRB060923B,8.95,L
GRB060923A,58.49,L
GRB060919,9.0,L
GRB060912A,5.03,L
GRB060908,19.3,L
GRB060906,44.59,L
GRB060904B,189.98,L
GRB060904A,80.06,L
GRB060825,7.98,L
GRB060814,145.07,L
GRB060813,15.97,L
GRB060807,54.05,L
GRB060805A,4.93,L
GRB060804,18.19,L
GRB060801,0.5,S
GRB060729,113.04,L
GRB060728,,Discarded
GRB060719,66.92,L
GRB060717,3.0,L
GRB060714,116.06,L
GRB060712,30.91,L
GRB060708,10.03,L
GRB060707,66.64,L
GRB060614,109.1,L
GRB060607B,31.58,L
GRB060607A,103.03,L
GRB060605,79.84,L
GRB060604,96.0,L
GRB060602A,74.84,L
GRB060526,298.04,L
GRB060522,69.12,L
GRB060516,128.0,L
GRB060515,52.37,L
GRB060512,8.4,L
GRB060510B,262.94,L
GRB060510A,20.15,Discarded
GRB060507,183.31,L
GRB060505,4.0,L
GRB060502B,0.14,S
GRB060502A,28.45,L
GRB060501,25.63,L
GRB060428B,96.0,L
GRB060428A,39.48,L
GRB060427,62.0,L
GRB060424,37.68,L
GRB060421,12.0,L
GRB060418,109.08,L
GRB060413,141.12,L
GRB060403,30.59,L
GRB060323,23.87,L
GRB060322,229.47,L
GRB060319,10.29,L
GRB060313,0.74,S
GRB060312,44.66,L
GRB060306,60.94,L
GRB060223B,10.36,L
GRB060223A,11.32,L
GRB060219,62.04,L
GRB060218,,Discarded
GRB060211B,27.73,L
GRB060211A,126.46,L
GRB060210,288.0,L
GRB060206,7.55,L
GRB060204B,139.46,L
GRB060203,69.52,L
GRB060202,192.88,L
GRB060124,13.42,L
GRB060123,,Discarded
GRB060117,16.85,L
GRB060116,104.83,L
GRB060115,139.09,L
GRB060111B,58.83,L
GRB060111A,13.21,L
GRB060110,21.34,L
GRB060109,115.59,L
GRB060108,14.22,L
GRB060105,54.38,L
GRB060102,19.0,L
GRB051227,115.4,L
GRB051221B,42.57,L
GRB051221A,1.39,S
GRB051213,71.06,L
GRB051210,1.3,S
GRB051117B,9.02,L
GRB051117A,140.63,L
GRB051114,2.0,S
GRB051113,93.3,L
GRB051111,64.0,L
GRB051109B,15.7,L
GRB051109A,37.2,L
GRB051105A,0.06,S
GRB051021B,46.51,L
GRB051016B,4.0,L
GRB051016A,21.0,L
GRB051012,12.8,L
GRB051008,12.41,L
GRB051006,35.41,L
GRB051001,190.26,L
GRB050925,0.09,S
GRB050922C,4.55,L
GRB050922B,157.02,L
GRB050916,85.18,L
GRB050915B,43.1,L
GRB050915A,53.42,L
GRB050911,16.24,L
GRB050908,18.28,L
GRB050906,,Discarded
GRB050904,181.58,L
GRB050827,50.03,L
GRB050826,29.6,L
GRB050824,25.01,L
GRB050822,104.29,L
GRB050820B,12.06,L
GRB050820A,240.77,L
GRB050819,37.72,L
GRB050815,2.99,L
GRB050814,142.85,L
GRB050813,0.38,S
GRB050803,88.12,L
GRB050802,27.46,L
GRB050801,19.57,L
GRB050730,154.6,L
GRB050726,46.5,L
GRB050724,98.68,S
GRB050721,104.7,L
GRB050717,85.02,L
GRB050716,69.02,L
GRB050715,187.0,L
GRB050714B,49.36,L
GRB050713B,121.7,L
GRB050713A,124.67,L
GRB050712,51.36,L
GRB050701,21.7,L
GRB050607,48.0,L
GRB050603,21.0,L
GRB050528,11.25,L
GRB050525A,8.84,L
GRB050509B,0.02,Discarded
GRB050509A,10.51,L
GRB050507,15.0,L
GRB050505,58.85,L
GRB050502B,17.72,L
GRB050422,80.0,L
GRB050421,8.41,L
GRB050418,81.76,L
GRB050416B,3.39,L
GRB050416A,6.67,L
GRB050412,27.57,L
GRB050410,64.0,L
GRB050406,5.78,L
GRB050401,32.09,L
GRB050326,29.44,L
GRB050319,151.58,L
GRB050318,16.12,L
GRB050315,95.4,L
GRB050306,158.52,L
GRB050223,22.68,L
GRB050219B,28.72,L
GRB050219A,23.81,L
GRB050215B,11.04,L
GRB050215A,66.41,L
GRB050202,0.11,S
GRB050128,28.0,L
GRB050126,48.0,L
GRB050124,3.94,L
GRB050117,166.65,L
GRB041228,56.3,L
GRB041226,8.3,L
GRB041224,177.56,L
GRB041223,109.06,L
GRB041220,5.58,L
GRB041219C,10.0,L
GRB041219B,39.1,Discarded
GRB041219A,,Discarded
GRB041217,5.67,L
